"filename", "language", "Go", "Markdown", "Shell Script", "Docker", "JavaScript", "vue", "Go Checksum File", "XML", "CSS", "JSON", "Go Module File", "HTML", "comment", "blank", "total"
"/Users/jialiangteng/Desktop/deepjudge/routes/routes.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 47
"/Users/jialiangteng/Desktop/deepjudge/runner/Dockerfile", "Docker", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/Users/jialiangteng/Desktop/deepjudge/runner/judge.sh", "Shell Script", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 22
"/Users/jialiangteng/Desktop/deepjudge/services/analysis.go", "Go", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 27, 138
"/Users/jialiangteng/Desktop/deepjudge/services/code_evaluation.go", "Go", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 116
"/Users/jialiangteng/Desktop/deepjudge/services/judge_queue.go", "Go", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 72
"/Users/jialiangteng/Desktop/deepjudge/utils/db.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"/Users/jialiangteng/Desktop/deepjudge/utils/pagination.go", "Go", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 37
"/Users/jialiangteng/Desktop/deepjudge/utils/redis.go", "Go", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"Total", "-", 865, 39, 17, 10, 54, 1021, 145, 2, 70, 1881, 44, 13, 87, 387, 4635
